symptoms,topic
"Feel sad or blue most or all of the time,Feel bad-tempered or irritable most of the time, with sudden bursts of anger,Not enjoy activities that normally make you happy, including sex,Feel hopeless or helpless,Not feel good about yourself, or have feelings of worthlessness, self-hate, and guilt ,Have trouble sleeping or sleep more than normal,Have a hard time concentrating,Move around more slowly or seem ""jumpy"" or agitated,Feel much less hungry than before, or even lose weight,Feel tired and lack energy,Become less active or stop doing usual activities ",Learning about depression
"Hospital bed,Wheelchair,Walker or cane,Shower chair,Portable toilet,Oxygen supply,Diapers,Disposable gloves,Bandages and dressing,Skin care items ",Leaving the hospital - your discharge plan
,Learn to manage your anger
" Most people feel really good after exercising. But for some reason, it's hard to remember that feeling before your next workout. As a reminder, make a few notes about how good you feel after a workout. Or take a photo of yourself after a workout and stick it on the fridge for inspiration., Social media offers a number of ways to share your progress and get positive feedback from friends. Look for websites where you can track your daily walk or run. If you like to write, start a blog about your adventures., Charity events offer you the chance to walk, ski, run, or bike for a good cause. Not only are these events fun, but training for them can help keep your motivation up. Many charities help participants by arranging training runs or bikes. You'll get fit while meeting new friends. Or, boost your motivation by signing up for the event with family, friends, or coworkers., Treat yourself for hitting your goals. Think about rewards that support your efforts, such as new walking shoes, a heart rate monitor, or a GPS watch you can use to track your workouts. Small rewards work as well, such as tickets to a concert or movie. ",Learn to love exercise
,Learn to manage stress
,Lead levels - blood
,Learn about gluten-free diets
"Behavior or attention problems,Failure at school,Hearing problems,Kidney damage,Reduced IQ,Slowed body growth ,Abdominal pain and cramping (usually the first sign of a high, toxic dose of lead poison),Aggressive behavior,Constipation,Difficulty getting pregnant,Difficulty sleeping,Headaches,Hearing loss,Irritability,Loss of previous developmental skills (in young children),Low appetite and energy,Reduced sensations ",Lead poisoning
,Lead and tap water
,Lead - nutritional considerations
,HCG blood test - quantitative
,HCG blood test - qualitative
"Acid,Alkali,Carcinogenic,Caution,Corrosive,Danger,Explosive,Flammable,Irritant,Radioactive,Unstable,Warning,Names of the hazardous chemicals or substances in the container,Facts about the substance, such as the odor or when it will boil or melt,How it could harm you,What your symptoms could be if you are exposed to the material,How to safely handle the material and what , to wear when you handle it,What steps to take before more skilled or trained professionals come to help,If the material could cause a fire or explosion, and what to do if this happens,What to do if a spill or leak occurs,What to do if there is danger from the material mixing with other substances,How to safely store the material, including what temperature to keep it at, if moisture is safe, and whether it should be in a room with good airflow ",Hazardous materials
"Diarrhea,Mood changes,Nervous system (neurologic) problems, such as abnormal muscle tone,Red, scaly ,, usually when skin is exposed to sunlight,Sensitivity to light (photosensitivity)",Hartnup disorder
"Pain from the hardware,Infection,Allergic reaction to hardware,To prevent problems with growing bones in young people,Nerve damage,Broken hardware,Bones that did not heal and join properly",Hardware removal - extremity
,Hardening of the arteries
"Androgens,Corticosteroids ,Birth control pills,Chlorpromazine,Diphenhydramine,Indomethacin,Isoniazid,Nitrofurantoin,Quinidine,Streptomycin ",Haptoglobin blood test
"Never put your fingers into the sharps container.,If the needle has tubing attached to it, hold the needle and the tubing when you put it in the sharps container.,Sharps containers should be at eye level and within your reach.,If a needle is sticking out of the container, do not push it in with your hands. Call to have the container removed. Or, a trained person may use tongs to push the needle back into the container.,If you find an uncovered sharp object outside of a disposal container, it is safe to pick it up only if you can grasp the non-sharp end. If you cannot, use tongs to pick it up and dispose of it. ",Handling sharps and needles
,Hangover treatment
"Chills,Fever,Muscle aches ,Dry cough,General ill feeling (,),Headache,Nausea and vomiting,Shortness of breath ",Hantavirus
"
   Abnormal levels of electrolytes, or minerals, in the body
   ,
   Brain disorders, such as ,, ,, ,, and ,
   Chronic kidney disease and dialysis
   ,
   Damage to a single nerve or nerve group (,) or multiple nerves (polyneuropathy) that are connected to muscles
   ,
   Dehydration (not having enough fluids in your body)
   ,, which is rapid or deep breathing that can occur with anxiety or panic
   ,, usually caused by overuse during sports or work activity,Pregnancy, more often during the third trimester,Thyroid disorders,Too little vitamin D,Use of certain medicines",Hand or foot spasms
,Hand x-ray
"Rash with very small blisters on the hands, feet, and diaper area that may be tender or painful when pressed,Sore throat, in the throat (including tonsils), mouth, and tongue ",Hand-foot-mouth disease
"Grade 1 -- mild muscle strain or pull,Grade 2 -- partial muscle tear,Grade 3 -- complete muscle tear ",Hamstring strain - aftercare
"On your knuckle,Just below your knuckle (sometimes called a boxer's fracture),In the shaft or middle part of the bone,At the base of the bone, near your wrist,A displaced fracture (this means part of the bone is not in its normal position) ",Hand fracture - aftercare
,Hand lotion poisoning
"You will have a new bandage for another 2 to 4 weeks.,Make sure to keep the bandage clean and dry. Take sponge baths or cover your foot with a plastic bag when you take showers. Make sure water cannot leak into the bag. ,Will stay in place for 2 to 3 weeks,Is most often not painful,Will be easily removed in your surgeon's office ,Keep it clean and protected by wearing a sock and your orthopedic boot.,Once you can shower and get your foot wet, dry the wire well afterward. ,Ibuprofen (such as Advil or Motrin),Naproxen (such as Aleve or Naprosyn),Acetaminophen (such as Tylenol) ,Talk with your provider before using these medicines if you have heart disease, high blood pressure, kidney disease, liver disease, or have had stomach ulcers or bleeding.,DO NOT take more than the amount recommended on the bottle. ",Hammer toe repair - discharge
"Pain,Irritation,Sores,Problems finding shoes that fit,Skin infections ,Treatment with paddings and strapping works,You can still straighten your toe,Changing to different shoe types can alleviate symptoms ",Hammer toe repair
,Hammer toe
,Ham test
,Halo brace
"Being drunk or high, or coming down from such drugs like ,, ,, cocaine (including crack), PCP, amphetamines, heroin, ketamine, and alcohol, or , (visual hallucinations are most common), that involves a part of the brain called the temporal lobe (odor hallucinations are most common),, especially in children and the older people, (disorder that causes a person to fall into periods of deep sleep),Mental disorders, such as , and psychotic depression,Sensory problem, such as blindness or deafness,Severe illness, including liver failure, ,, ,, and brain cancer ",Hallucinations
,Hair transplant
"Easy bruising or bleeding,Heavy sweating (especially at night), and ,Feeling full after eating only a small amount,Recurrent infections and fevers,Pain or fullness in the upper left belly (enlarged spleen),Weight loss ",Hairy cell leukemia
" (decreased level of consciousness and lack of responsiveness),Increased urination,Lack of alertness (,),Slurred speech,Unsteady walk",Hair tonic poisoning
,Hair spray poisoning
,Hair straightener poisoning
"High fever or severe infection,Childbirth,Major surgery, major illness, sudden blood loss,Severe emotional stress,Crash diets, especially those that do not contain enough protein,Drugs, including retinoids, birth control pills, beta-blockers, calcium channel blockers, certain antidepressants, NSAIDs (including ibuprofen). , (bald patches on the scalp, beard, and, possibly, eyebrows; eyelashes may fall out).,Anemia,Autoimmune conditions such as ,Burns,Certain infectious diseases such as ,Excessive shampooing and blow-drying,Hormone changes,Thyroid diseases,Nervous habits such as continual , or scalp rubbing, (ringworm of the scalp),Tumor of the , or ,Hair styles that put too much tension on the hair follicles. ",Hair loss
,Hair dye poisoning
,Hair bleach poisoning
,Haemophilus influenzae Type b (Hib) vaccine - what you need to know
"Famotidine (Pepcid AC, Pepcid Oral),Cimetidine (Tagamet, Tagamet HB),Ranitidine (Zantac, Zantac 75, Zantac Efferdose, Zantac injection, and Zantac Syrup),Nizatidine Capsules (Axid AR, Axid Capsules, Nizatidine Capsules) ",H2 blockers
"Cimetidine (Tagamet),Ranitidine (Zantac),Famotidine (Pepcid),Nizatidine (Axid)",H2 receptor antagonists overdose
"Discoloration (blue or black if skin is affected; red or bronze if the affected area is beneath the skin),Foul-smelling discharge ,Loss of feeling in the area (which may happen after severe pain in the area),Confusion,Fever,Gas in tissues beneath the skin,General ill feeling,Low blood pressure,Persistent or severe pain",Gangrene
"Breathing difficulty,Chest pain,Compression of the windpipe (trachea) ,Abdominal pain,Bloating ,Compression of the spinal cord, which leads to pain and loss of strength or feeling in the legs, arms, or both,Spine deformity ,Diarrhea,Enlarged clitoris (women),High blood pressure,Increased body hair,Sweating ",Ganglioneuroma
,Ganglioneuroblastoma
"Alcohol,Phenytoin,Phenobarbital,Birth control pills,Clofibrate",Gamma-glutamyl transpeptidase (GGT) blood test
,Gallium scan
,Gallstones - discharge
"Pain in the right upper or middle upper abdomen for at least 30 minutes. The pain may be constant or cramping. It can feel sharp or dull.,Fever,Yellowing of skin and whites of the eyes (jaundice) ,Clay-colored stools,Nausea and vomiting ",Gallstones
"Pain in your belly. You may also have pain in one or both shoulders for several days after surgery. This comes from the gas still in your belly after your surgery.,Incision pain for 1 to 2 weeks. This pain should get better each day.,Sore throat from the breathing tube. Sucking on ice chips or gargling may be soothing.,Nausea, and maybe throwing up (vomiting). Your surgeon can provide you with nausea medicine, if needed.,Loose stools after eating. This may last 4 to 8 weeks. Rarely, the diarrhea can continue. Your health care provider can discuss treatment options with you.,Bruising around your wound. This will go away on its own.,Skin redness around your wound. This is normal.,A small amount of watery or dark bloody fluid from the incision. This is normal for several days after surgery. ,One will help remove any fluid or blood that is left in your belly.,The second tube will drain bile while you recover. This tube will be removed by your surgeon in 2 to 4 weeks. Before the tube is removed, you will have a special x-ray called a cholangiogram.,You will receive instructions for caring for these drains before leaving the hospital. ",Gallbladder removal - open - discharge
", including bloating, heartburn, and gas ,Pain after eating, usually in the upper right or upper middle area of your , (epigastric pain) ,Unexpected bleeding during the laparoscopic operation,Pancreatitis (inflammation in the pancreas),Pregnancy (third trimester),Severe ,Past surgeries in the same area of your belly ",Gallbladder removal - open
"Pain in your belly. You may also feel pain in one or both shoulders. This pain comes from the gas still left in your belly after the surgery. The pain should ease over several days to a week.,A sore throat from the breathing tube. Sucking on ice chips or gargling may be soothing.,Nausea, and maybe throwing up. Your surgeon can provide you with nausea medicine if needed.,Loose stools after eating. This may last 4 to 8 weeks. However, in some cases it can last longer.,Bruising around your wounds. This will go away on its own.,Skin redness around your wounds. This is normal. ",Gallbladder removal - laparoscopic - discharge
", including bloating, heartburn, and gas,Pain after eating, usually in the upper right or upper middle area of your belly (epigastric pain)",Gallbladder removal - laparoscopic
,Gallbladder radionuclide scan
"Poor feeding -- baby refuses to eat formula containing milk,Poor weight gain,Yellow skin and whites of the eyes (jaundice),Vomiting",Galactosemia
"Anesthetics,Aspirin,Clofibrate,Fluorides,Mithramycin,Narcotics,Procainamide ",LDH isoenzyme blood test
,Galactose-1-phosphate uridyltransferase blood test
"Bisacodyl (Dulcolax),Cascara sagrada,Castor oil,Docusate (Colace),Docusate and phenolphthalein (Correctol),Glycerin suppositories,Lactulose (Duphalac),Magnesium citrate,Malt soup extract (Maltsupex),Methylcellulose,Milk of magnesia,Mineral oil,Phenolphthalein (Ex-Lax),Psyllium,Senna",Laxative overdose
,Lavender oil
"Surgical and exam gloves,Catheters and other tubing,Sticky tape or electrode pads that can be attached to your skin during an EKG,Blood pressure cuffs,Tourniquets (bands used to stop or slow blood flow),Stethoscopes (used to listen to your heart beat and breathing),Grips on crutches and crutch tips,Bed sheet protectors,Elastic bandages and wraps,Wheelchair tires and cushions,Medicine vials ",Latex allergies - for hospital patients
,Latex agglutination test
,Lateral
,Lateral traction
"Swimming,Hot tubs and whirlpool,Contact sports,Lotions and creams around the eyes,Eye makeup ",Lasik eye surgery - discharge
"You should be at least 18 years old (21 in some cases, depending on the laser used). This is because vision may continue to change in people younger than 18. A rare exception is a child with one very nearsighted and one normal eye. Using LASIK to correct a very nearsighted eye may prevent , (lazy eye).,Your eyes must be healthy and your prescription stable. If you are nearsighted, you should postpone LASIK until your condition has stabilized. Nearsightedness may continue to increase in some patients until their mid to late 20s.,Your prescription must be within the range that can be corrected with LASIK.,You should be in good general health. LASIK may not be recommended for patients with diabetes, rheumatoid arthritis, lupus, glaucoma, herpes infections of the eye, or cataracts. You should discuss this with your surgeon. ,Weigh the risks and rewards. If you're happy wearing contacts or glasses, you may not want to have the surgery.,Make sure you have realistic expectations from the surgery. ",LASIK eye surgery
"Destroy tumors and precancerous growths,Shrink tumors that are blocking the stomach, colon, or esophagus,Help treat cancer symptoms, such as bleeding,Treat cancer side effects, such as swelling,Seal nerve endings after surgery to reduce pain,Seal lymph vessels after surgery to reduce swelling and keep tumor cells from spreading ,Breast,Brain,Skin,Head and neck,Cervical ",Laser therapy for cancer
,Laser therapy
"Close small blood vessels to reduce blood loss,Remove ,, ,, sunspots, and tattoos,Reduce the appearance of skin wrinkles, scars, and other skin blemishes,Remove dilated blood vessels from the face,Remove hair,Remove skin cells that could turn into cancer",Laser surgery - skin
"New blood vessels growing in your retina,Blurry vision due to fluid leaking into the area of the retina that provides sharp central vision (macular edema),Retinal tumor ,, an eye disorder that slowly destroys sharp, central vision,A tear in the retina, that carry blood away from the retina,, when the retina in the back of the eye separates from the layers below",Laser photocoagulation - eye
,Laryngoscopy and nasolarynoscopy
,Laryngoscopy
"Fever,Hoarseness,Swollen lymph nodes or glands in the neck ",Laryngitis
"Severe trauma, such as a gunshot wound or other injury.,Severe damage to the larynx from radiation treatment. This is called radiation necrosis. ",Laryngectomy
"Difficulty speaking,Difficulty swallowing,Hoarseness",Laryngeal nerve damage
,Large for gestational age (LGA)
"Pain when you cough, sneeze, and make sudden movements. This may last up to several weeks.,Hard stools, or you may not be able to have a bowel movement at all.,You may have diarrhea.,You may have problems with your colostomy.",Large bowel resection - discharge
" due to scar tissue, (disease of the large bowel) ,Injuries that damage the large bowel,Intussusception (when one part of the intestine pushes into another),Precancerous polyps,Severe gastrointestinal bleeding,Twisting of the bowel (volvulus)",Large bowel resection
"Body aches,Feel tired and cold,Dry skin,Mood changes,Hair loss or hair thinning ",Laparoscopic gastric banding - discharge 
"A BMI of 40 or more. This most often means that men are 100 pounds (45 kg) overweight and women are 80 pounds (36 kg) over their ideal weight.,A BMI of 35 or more and a serious medical condition that might improve with weight loss. Some of these conditions are ,, ,, ,, and ,. ",Laparoscopic gastric banding
"Baby oil,Eye care products, products, medicines,Lotions and skin creams,Medicated shampoos,Makeup (lipstick, powder, foundation),Makeup removers,Shaving creams",Lanolin poisoning
"A hard time understanding what other people have said,Problems following directions that are spoken to them,Problems organizing their thoughts ,Have a hard time putting words together into sentences, or their sentences may be simple and short and the word order may be off,Have difficulty finding the right words when talking, and often use placeholder words such as ""um"",Have a vocabulary that is below the level of other children the same age,Leave words out of sentences when talking,Use certain phrases over and over again, and repeat (echo) parts or all of questions,Use tenses (past, present, future) improperly ",Language disorder - children
"Pain or numbness in one or both legs.,You may feel weakness or heaviness in your buttocks or legs.,You may have problems emptying or controlling your bladder and bowel.,You are more likely to have symptoms, or worse symptoms, when you are standing or walking. ",Laminectomy
,Lamellar ichthyosis
"Difficulty climbing stairs or lifting things,Drooping of the head,The need to use the hands to get up from a sitting or lying position,Problems talking,Problems chewing or swallowing, which may include gagging or ,Vision changes, such as , vision, double vision, and problem keeping a steady gaze,
  Blood pressure changes
  ,
  Dizziness upon standing
  ,
  Dry mouth
  ",Lambert-Eaton syndrome
,Lactose tolerance tests
,H1N1 influenza (Swine flu)
"Difficulty breathing (in severe cases),Mild back pain,Round back appearance,Tenderness and stiffness in the spine ",Kyphosis
"Cancer, including multiple myeloma,Injury that caused broken bones in the spine ",Kyphoplasty
"Changes in ,Decreased muscle mass,Diarrhea,Failure to gain weight and grow,Hair changes (change in color or texture),Increased and more severe infections due to damaged immune system,Large belly that sticks out (protrudes), or apathy,Loss of muscle mass,Rash (dermatitis),Shock (late stage),Swelling (,) ",Kwashiorkor
"Arm and leg pain,Coordination problems that become severe,Difficulty walking,Headache,Swallowing difficulty,Tremors and muscle jerks ",Kuru
"Changing muscle tone from floppy to rigid,Hearing loss that leads to deafness,Feeding difficulties,Irritability and sensitivity to loud sounds,Severe , (may begin at a very early age),Unexplained fevers,Vision loss that leads to blindness,Vomiting ",Krabbe disease
,Knock knees
,Kneecap dislocation - aftercare
"Knee appears to be deformed,Knee is bent and cannot be straightened out,Kneecap (patella) dislocates to the outside of the knee, and tenderness,""Sloppy"" kneecap -- you can move the kneecap too much from right to left (hypermobile patella)",Kneecap dislocation
"Rest and avoid activities that cause pain. Avoid putting weight on your knee.,Apply ice. First, apply it every hour for up to 15 minutes. After the first day, apply it at least 4 times per day. Cover your knee with a towel before applying ice. DO NOT fall asleep while using ice. You can leave it on too long and get frostbite.,Keep your knee raised as much as possible to bring down any swelling.,Wear an elastic bandage or elastic sleeve, which you can buy at most pharmacies. This may reduce swelling and provide support.,Take ibuprofen (Motrin) or naproxyn (Aleve) for pain and swelling. Acetaminophen (Tylenol) can help relieve pain, but not swelling. Talk to your provider before taking these medicines if you have medical problems, or if you have taken them for more than a day or two.,Sleep with a pillow underneath or between your knees. ,Always warm up before exercising and cool down after exercising. Stretch the muscles in the front of your thigh (quadriceps) and in the back of your thigh (hamstrings).,Avoid running down hills -- walk down instead.,Bicycle, or better yet, swim instead of run.,Reduce the amount of exercise you do.,Run on a smooth, soft surface, such as a track, instead of on cement or pavement.,Lose weight if you are overweight. Every pound (1/2 kilogram) that you are overweight puts about 5 extra pounds (2.25 kilograms) of pressure on your kneecap when you go up and down stairs. Ask your provider for help losing weight.,If you have flat feet, try special shoe inserts and arch supports (orthotics).,Make sure your running shoes are well made, fit well, and have good cushioning. ",Knee pain
"Brain aneurysm clips,Certain types of artificial heart valves,Heart defibrillator or pacemaker,Inner ear (cochlear) implants,Kidney disease or dialysis (you may not be able to receive contrast),Recently placed artificial joints,Certain types of vascular ,Worked with sheet metal in the past (you may need tests to check for metal pieces in your eyes) ,Pens, pocketknives, and eyeglasses may fly across the room.,Items such as jewelry, watches, credit cards, and hearing aids can be damaged.,Pins, hairpins, metal zippers, and similar metallic items can distort the images.,Removable dental work should be taken out just before the scan. ",Knee MRI scan
"In the knee joint,Under the kneecap",Knee microfracture surgery
,Knee joint replacement - discharge 
"You are having pain from knee arthritis that keeps you from sleeping or doing normal activities.,You cannot walk and take care of yourself.,Your knee pain has not improved with other treatment.,You understand what surgery and recovery will be like. ",Knee joint replacement
"Contrast can be given through a vein (IV) in your hand or forearm. If contrast is used, you may also be asked not to eat or drink anything for 4 to 6 hours before the test.,Let your health care provider know if you have ever had a reaction to contrast. You may need to take medicines before the test to avoid this problem.,Before receiving the contrast, tell your provider if you take the diabetes medicine metformin (Glucophage). You may need to take extra steps if you are taking this medicine. ",Knee CT scan
"An orthotist can make a custom fitted unloading brace. You will need a prescription from your doctor. These braces often cost over $1,000 and insurance may not pay for them.,Unloading braces may be bought in different sizes at a medical device store without a prescription. These braces cost a few hundred dollars. ",Knee braces - unloading
,Knee arthroscopy - discharge 
"Torn ,. Meniscus is cartilage that cushions the space between the bones in the knee. Surgery is done to repair or remove it.,Torn or damaged , ligament (ACL) or , ligament (PCL),Swollen (inflamed) or damaged lining of the joint. This lining is called the synovium.,Kneecap (patella) that is out of position (misalignment).,Small pieces of broken cartilage in the knee joint,Removal of ,. This is a swelling behind the knee that is filled with fluid. Sometimes the problem occurs when there is swelling and pain (inflammation) from other causes, like arthritis.,Some fractures of the bones of the knee ",Knee arthroscopy
"Many , or other blood vessel problems, including dark spots on the skin, (may be seen in early infancy, but are more likely to be seen later in childhood or adolescence),Bleeding from the rectum,Blood in the urine",Klippel-Trenaunay syndrome
"Abnormal body proportions (long legs, short trunk, shoulder equal to hip size),Abnormally large breasts (,),Infertility,Sexual problems,Less than normal amount of pubic, armpit, and facial hair,Small, firm ,Tall height ",Klinefelter syndrome
,Kinins
,Kidney stones and lithotripsy - discharge
,Kidney stones - what to ask your doctor
"Certain infections, such as TB or bone infections,Problems taking medications several times each day for the rest of your life,Heart, lung, or liver disease,Other life-threatening diseases,Recent history of cancer,Infections, such as hepatitis,Current behaviors such as smoking, alcohol or drug abuse, or other risky lifestyle habits ",Kidney transplant
"Drinking extra water and other liquids,Eating more of some foods and cutting back on other foods,Taking medicines to help prevent stones,Taking medicines to help you pass a stone (anti-inflammatory drugs, alpha-blockers)",Kidney stones - self-care
"Abdominal cramps,Diarrhea,Gas (,),Nausea ",Lactose intolerance
"Nausea,Weakness ",Lactic acidosis
,Lactic acid test
,Lactate dehydrogenase test
,Lacrimal gland tumor
,Lacquer poisoning
"Create a seal by gently bringing the cut together with your fingers.,Apply the liquid bandage over the top of the cut. Spread it from one end of the cut to the other, covering the cut completely.,Hold the cut together for about a minute to give the adhesive enough time to dry. ",Lacerations - liquid bandage
"Keep the area dry for the first 24 to 48 hours after stitches have been placed.,Then, you can start to gently wash around the site 1 to 2 times daily. Wash with cool water and soap. Clean as close to the stitches as you can. DO NOT wash or rub the stitches directly.,Dab the site dry with a clean paper towel. DO NOT rub the area. Avoid using the towel directly on the stitches.,If there was a bandage over the stitches, replace it with a new clean bandage and antibiotic treatment, if so instructed.,Your provider should have informed you when you need to have the stitches removed. If not, contact your provider for an appointment. ",Laceration - sutures or staples - at home
"Chest pain when taking a deep breath.,Fatigue.,Fever with no other cause.,General discomfort, uneasiness, or ill feeling (malaise).,Hair loss.,Mouth sores.,Sensitivity to sunlight.,Skin rash: A ""butterfly"" rash in about half the people with SLE. The rash is most often seen over the cheeks and bridge of the nose. It can be widespread. It gets worse in sunlight.,. ,Brain and nervous system: Headaches, numbness, tingling, seizures, vision problems, and personality changes,Digestive tract: Abdominal pain, nausea, and vomiting,Heart: Abnormal heart rhythms (,),Lung: Coughing up blood and difficulty breathing,Skin: Patchy skin color and fingers that change color when cold (,),Kidney: Swelling in the legs, weight gain ",Systemic lupus erythematosus
"When you feel dizzy, sit down right away.,To get up from a lying position, slowly sit up and stay seated for a few moments before standing.,When standing, make sure you have something to hold on to.,Avoid sudden movements or position changes.,You may need a cane or other help walking when symptoms are severe.,Avoid bright lights, TV, and reading during a vertigo attack. They may make symptoms worse.,Avoid activities such as driving, operating heavy machinery, and climbing while you are having symptoms. ,Eat a well-balanced, healthy diet. DO NOT overeat.,Exercise regularly, if possible.,Get enough sleep.,Limit caffeine and alcohol. ,Deep breathing,Guided imagery,Meditation,Progressive muscle relaxation,Tai chi,Yoga ",Labyrinthitis - aftercare 
"Feeling like you are spinning, even when you are still (,), making it hard to focus them,Dizziness, in one ear,; you may fall toward one side,Nausea and vomiting,Ringing or other noises in your ears (,) ",Labyrinthitis
,Systemic
"Headache,Loss of muscle mass (,, atrophy), often in the arms and hands,Spasms or tightness in the leg or hand and arm muscles,, loss of ability to use arms or legs, that decreases the feeling of pain or temperature; lowers the ability to feel when the skin is being touched; occurs in the neck, shoulders, upper arms, and trunk in a cape-like pattern; and slowly gets worse over time,Pain down the arms, neck, or into the middle back or legs, (decreased muscle strength) in the arms or legs ",Syringomyelia
", such as blurred vision, decreased vision
   ,Fever,Headache,Mental status changes, including , decreased attention span, and irritability,Nausea and vomiting,Stiff neck or shoulders, muscle aches,Sensitivity to light (,) and loud noises,
   Sleepiness, ,, hard to wake up",Syphilitic aseptic meningitis
"Small, painless open sore or , (called a chancre) on the genitals, mouth, skin, or rectum that heals by itself in 3 to 6 weeks, in the area of the sore ,Skin rash, usually on the palms of the hands and soles of the feet,Sores called mucous patches in or around the mouth, vagina, or penis,Moist, warty patches (called condylomata lata) in the genitals or skin folds,Fever,General ill feeling,Loss of appetite,Muscle aches,Joint pain,Swollen lymph nodes,Vision changes,Hair loss ,Damage to the heart, causing , or valve disease,Central nervous system disorders (neurosyphilis),Tumors of skin, bones, or liver ",Syphilis - primary
,Synovial fluid analysis
"If you are pregnant,If you ever had a problem with anesthesia,If you have any ,If you have bleeding problems,What medications you are taking (including any herbal medicines and supplements)",Synovial biopsy
"Nausea and vomiting,Headache,Problems with balance that may result in falls,Mental changes, such as confusion, memory problems, strange behavior, or coma, in severe cases",Syndrome of inappropriate antidiuretic hormone secretion
,Symptomatic
"Changes in handwriting,Loss of fine motor control, especially of the fingers and hands,Loss of emotional control, with bouts of inappropriate crying or laughing",Sydenham chorea
,5-HIAA
"Acetaminophen (Tylenol),Halothane,Isoniazid,Methyldopa,Nitrofurantoin ",5'-nucleotidase 
,25-hydroxy vitamin D test
"A lack of fluid (dehydration),Any type of x-ray exam with dye (contrast material) within 3 days before the urine test,Fluid from the vagina that gets into the urine,Severe emotional stress,Strenuous exercise,Urinary tract infection ",24-hour urine protein
,24-hour urine copper test
"High blood pressure medicines,Heart medicines,Nonsteroidal anti-inflammatory drugs (NSAIDs),Antacid and ulcer medicines,Water pills (diuretics),Pregnancy,High- or low-sodium diet,Strenuous exercise,Stress",24-hour urinary aldosterone excretion test
"Antibiotics,Aspirin (if you are on long-term aspirin),Birth control pills,Diuretics (water pills),Estrogen ",17-Ketosteroids urine test
"Birth control pills that contain estrogen,Certain antibiotics,Glucocorticoids",17-hydroxycorticosteroid urine test
"Your health care provider will tell you if you need to stop taking any medicines before you have this test. ,Do not stop or change your medicines without talking to your doctor first.",17-OH progesterone
,12 healthy snacks with 200 calories or less
" Many people reach for a snack or two in between meals. Snacking is fine, just be sure to choose lower-calorie options. The key is to have some , ready when hunger hits. Instead of a 3-ounce (85 g) bag of flavored tortilla chips (425 calories), choose a cup (250 mg) of air-popped popcorn (31 calories), a cup (250 mg) of grapes and a low-fat cheese stick (180 calories) or a small apple and 12 almonds (160 calories). Choosing healthy snacks twice a day will save you 500 calories., Try to nix one high-calorie food item each day. Whether it is a donut in the morning, a brownie or bag of chips at lunch, or chocolate cake after dinner, you will save 250 to 350 calories or more. To burn another 150 calories take a 40-minute brisk walk after lunch or dinner., One 12-ounce (355 mL) regular soda has about 150 calories, and a 16-ounce (475 mL) flavored latte can pack 250 or more. Even fruit smoothies have lots of calories, as many as 400 in a 16-ounce (475 mL) serving. A couple of sweet drinks a day can easily add up to 500 calories or more. Choose water, sparkling water, or black coffee or tea instead and save your calories for foods that will help you feel full., Taking a second helping can add up to unwanted calories. It is easy to keep filling your plate when you serve food family style on the table. Instead, fill your plate once and keep extras in the kitchen. Or, if you still do not feel satisfied, add a second helping of vegetables, fruit, or salad., Substitute lower-calorie options for some of your high-calorie favorites. For example, if a recipe calls for a cup (250 mL) of sour cream (444 calories) or heavy cream (821 calories), use plain low-fat yogurt instead (154 calories)., The , at most restaurants are much larger than recommended serving sizes. Instead of cleaning your whole plate, ask the server to put half in a container for you to take home for another meal. You can also share an entrée with a friend, or make a meal out of an appetizer and a large salad. Just be sure to go easy on the dressing and high calorie toppings., Frying food adds lots of unhealthy calories and saturated fat to any dish. Instead of fried chicken or fish, choose grilled, broiled, or poached instead. And skip the French fries. A large serving of fries alone can add almost 500 calories to a meal. Instead, see if you can substitute for the vegetable of the day or a side salad., Skip the meat toppings, extra cheese, and deep-dish crust, and have a couple slices of thin-crust vegetable pizza instead. You will save a little over 500 calories., Eat all food from a plate or bowl, including snacks. When you snack out of a bag or box, it is easy to eat more than you intend to. This is especially true if you are sitting in front of the TV. You may be surprised to learn that a large bag of chips will run more than 1000 calories. Instead, place one portion in a bowl, and put the rest away., Cutting back on alcohol is an easy way for many people to trim ,. Alcohol does not have any nutritional value, so when you imbibe (drink) alcohol, you are getting empty calories, up to 500 for some mixed drinks made with syrupy sweeteners, fruit juices, and ice cream or heavy cream. If you do order a drink, choose a 12-ounce (355 mL) light beer (103 calories) or a 5-ounce (145 mL) glass of wine (120 calories). ",10 ways to cut 500 calories a day
"Pain may be felt in the belly area or side of the back.,Pain may move to groin area (,) or testicles (,). ,Chills",Kidney stones
"Pain in your belly or on the side where you had the kidney removed. The pain should get better over several days to a week.,Bruising around your wounds. This will go away on its own.,Redness around your wounds. This is normal. ",Kidney removal - discharge
,Kidney function tests
"Someone donating a kidney,Birth defects,A kidney damaged by infection, ,, or other problems,To help control ,  in someone who has problems with the blood supply to their kidney,Very bad injury (trauma) to the kidney that cannot be repaired",Kidney removal
"About medicines you are taking, including vitamins and supplements, herbal remedies, and over-the-counter medicines,If you have any allergies,If you have bleeding problems or if you take blood thinning medicines such as warfarin, clopidogrel, or aspirin,If you are or think you might be pregnant ",Kidney biopsy
,Kidney disease - resources
"Orudis,Oruvail",Ketoprofen overdose
,Ketones urine test
,Ketones blood test
"Kerosene (a fuel used for heating and cooking),Some lamp fuels ",Kerosene poisoning
